model,category,demographic,masked_text,description,top_1_prediction,top_1_score,top_3_predictions,expected_tokens,expected_in_top_1,expected_in_top_3,expected_in_top_5,best_match_position,predicted_age,age_confidence,predicted_region,region_confidence,predicted_formality,formality_confidence
Fine-tuned Model,age_specific,Teen,"Bhai, <mask> ho raha hai?",Teen greeting pattern,kya,0.6805102825164795,"kya, kaise, comment","kya, time, game",True,True,True,0,under 30,0.719848096370697,urban,0.6150120496749878,informal,0.5557867288589478
Fine-tuned Model,age_specific,Teen,<mask> movie dekhne chale weekend pe?,Teen entertainment context,Kya,0.3798482418060303,"Kya, Kis, Koi","kaunsi, new, latest",False,False,False,-1,under 30,0.7295913100242615,rural,0.6379037499427795,informal,0.619339108467102
Fine-tuned Model,age_specific,Adult,Meeting ke <mask> presentation ready karni hai.,Adult work context,baad,0.579059362411499,"baad, liye, bad","liye, baad, pehle",True,True,True,0,under 30,0.6562673449516296,urban,0.5062904357910156,informal,0.5053070187568665
Fine-tuned Model,age_specific,Adult,"<mask>, aapka presentation kaisa chal raha hai?",Adult formal greeting,Sir,0.29151463508605957,"Sir, Hello, Bhai","Sir, Ma'am, Hello",True,True,True,0,over 30,0.5951302647590637,urban,0.5530821084976196,formal,0.8953179121017456
Fine-tuned Model,age_specific,Senior,"<mask>, aap kaise hain?",Senior formal greeting,Hello,0.2634228467941284,"Hello, Bhai, Hi","Namaste, Sir, Hello",True,True,True,0,under 30,0.7452913522720337,urban,0.5619226098060608,informal,0.6639757752418518
Fine-tuned Model,age_specific,Senior,Main <mask> baat kar raha hoon.,Senior communication style,bhi,0.17104709148406982,"bhi, kya, yeh","se, phone, Hindi",False,False,False,-1,under 30,0.6574826240539551,urban,0.5236936807632446,informal,0.6952146887779236
Fine-tuned Model,region_specific,North,"Yaar, <mask> kaam ho gaya?",Northern dialectal pattern,kya,0.6699820160865784,"kya, kaise, sab","tera, tumhara, homework",False,False,False,-1,under 30,0.719848096370697,urban,0.6150120496749878,informal,0.5557867288589478
Fine-tuned Model,region_specific,North,Aaj main <mask> market jaunga.,Northern location reference,market,0.15237729251384735,"market, bhi, ka","local, Sadar, Connaught",False,False,False,-1,under 30,0.6895486116409302,urban,0.8385652899742126,formal,0.5518184304237366
Fine-tuned Model,region_specific,South,Project ka <mask> complete ho gaya?,Southern work context pattern,kaam,0.15126894414424896,"kaam, project, progress","work, module, planning",False,False,False,-1,under 30,0.6613757610321045,rural,0.5680843591690063,informal,0.6074380874633789
Fine-tuned Model,region_specific,South,<mask> dinner karenge aaj?,Southern social context,Kya,0.13008426129817963,"Kya, Bhai, Aaj","Kahan, Where, Restaurant",False,False,False,-1,under 30,0.7295913100242615,rural,0.6379037499427795,informal,0.619339108467102
Fine-tuned Model,region_specific,West,Meeting <mask> schedule kar di hai.,Western formal context,session,0.11315009742975235,"session, bhi, mein","time, ka, ki",False,False,False,-1,under 30,0.6890048980712891,urban,0.5765284895896912,formal,0.6593010425567627
Fine-tuned Model,region_specific,West,<mask> message bhej dena details ke saath.,Western communication pattern,Mere,0.11265068501234055,"Mere, Please, Plz","WhatsApp, email, ek",False,False,False,-1,under 30,0.8638937473297119,rural,0.9952759146690369,informal,0.9626725912094116
Fine-tuned Model,formality_specific,Formal,"<mask>, kya aap meeting ke liye taiyar hain?",Formal workplace greeting,Sir,0.2824119031429291,"Sir, Hello, Bhai","Sir, Ma'am, Hello",True,True,True,0,over 30,0.5951302647590637,urban,0.5530821084976196,formal,0.8953179121017456
Fine-tuned Model,formality_specific,Formal,Project ki <mask> report submit kar di hai.,Formal work context,final,0.29010847210884094,"final, progress, project","final, detailed, progress",True,True,True,0,under 30,0.7064060568809509,urban,0.5648903846740723,formal,0.9848077297210693
Fine-tuned Model,formality_specific,Informal,"<mask>, kya scene hai?",Informal greeting,Bhai,0.15937788784503937,"Bhai, Hello, Hi","Bhai, Yaar, Hey",True,True,True,0,under 30,0.6589944958686829,rural,0.5724910497665405,informal,0.5171977281570435
Fine-tuned Model,formality_specific,Informal,"Movie <mask> mast thi, dekhni chahiye tujhe.",Informal entertainment context,bahut,0.5288060307502747,"bahut, ,, bhi","bahut, ekdum, totally",True,True,True,0,under 30,0.7623666524887085,urban,0.5380371809005737,informal,0.7865557074546814
Fine-tuned Model,code_switching_boundaries,Mixed,Main kal <mask> movie dekhne gaya tha.,Hindi to English boundary,yeh,0.1475759744644165,"yeh, bhi, ek","ek, new, Hollywood",False,True,True,2,under 30,0.7237898111343384,rural,0.6162893772125244,informal,0.6432034969329834
Fine-tuned Model,code_switching_boundaries,Mixed,The meeting <mask> bahut important hai.,English to Hindi boundary,meeting,0.2288525551557541,"meeting, bhi, plan","is, was, agenda",False,False,False,-1,under 30,0.639510452747345,urban,0.6222275495529175,formal,0.8717290163040161
Fine-tuned Model,code_switching_boundaries,Mixed,Project deadline <mask> extend karna padega.,Complex boundary with English terms in Hindi structure,ko,0.3373025059700012,"ko, s, ne","ko, se, tak",True,True,True,0,under 30,0.6867299675941467,rural,0.5430653691291809,informal,0.5273829102516174
Fine-tuned Model,code_switching_boundaries,Mixed,Can you please <mask> bata do?,English to Hindi transition,help,0.40202367305755615,"help, let, what","details, time, schedule",False,False,False,-1,under 30,0.6756557822227478,urban,0.551928699016571,informal,0.6454020142555237
Baseline Model,age_specific,Teen,"Bhai, <mask> ho raha hai?",Teen greeting pattern,kya,0.6851394176483154,"kya, Kya, kaise","kya, time, game",True,True,True,0,under 30,0.719848096370697,urban,0.6150120496749878,informal,0.5557867288589478
Baseline Model,age_specific,Teen,<mask> movie dekhne chale weekend pe?,Teen entertainment context,Kya,0.12957385182380676,"Kya, Ki, Kis","kaunsi, new, latest",False,False,False,-1,under 30,0.7295913100242615,rural,0.6379037499427795,informal,0.619339108467102
Baseline Model,age_specific,Adult,Meeting ke <mask> presentation ready karni hai.,Adult work context,liye,0.5311232805252075,"liye, baad, baar","liye, baad, pehle",True,True,True,0,under 30,0.710985541343689,rural,0.6361356377601624,informal,0.8134123086929321
Baseline Model,age_specific,Adult,"<mask>, aapka presentation kaisa chal raha hai?",Adult formal greeting,Sir,0.15089431405067444,"Sir, Hello, Tere","Sir, Ma'am, Hello",True,True,True,0,over 30,0.5951302647590637,urban,0.5530821084976196,formal,0.8953179121017456
Baseline Model,age_specific,Senior,"<mask>, aap kaise hain?",Senior formal greeting,Hello,0.18487536907196045,"Hello, Tere, Dosto","Namaste, Sir, Hello",True,True,True,0,under 30,0.7452913522720337,urban,0.5619226098060608,informal,0.6639757752418518
Baseline Model,age_specific,Senior,Main <mask> baat kar raha hoon.,Senior communication style,ek,0.13978008925914764,"ek, yeh, jo","se, phone, Hindi",False,False,False,-1,under 30,0.6796205043792725,urban,0.5311543941497803,informal,0.5172804594039917
Baseline Model,region_specific,North,"Yaar, <mask> kaam ho gaya?",Northern dialectal pattern,kya,0.1389693021774292,"kya, kia, koi","tera, tumhara, homework",False,False,False,-1,under 30,0.719848096370697,urban,0.6150120496749878,informal,0.5557867288589478
Baseline Model,region_specific,North,Aaj main <mask> market jaunga.,Northern location reference,market,0.18443995714187622,"market, na, banana","local, Sadar, Connaught",False,False,False,-1,under 30,0.6895486116409302,urban,0.8385652899742126,formal,0.5518184304237366
Baseline Model,region_specific,South,Project ka <mask> complete ho gaya?,Southern work context pattern,kaise,0.08799461275339127,"kaise, asan, operation","work, module, planning",False,False,False,-1,under 30,0.6997048854827881,rural,0.6575884222984314,informal,0.5717952847480774
Baseline Model,region_specific,South,<mask> dinner karenge aaj?,Southern social context,Ki,0.1641649454832077,"Ki, Amar, Boro","Kahan, Where, Restaurant",False,False,False,-1,under 30,0.7075437903404236,rural,0.5276612043380737,formal,0.5976206660270691
Baseline Model,region_specific,West,Meeting <mask> schedule kar di hai.,Western formal context,ko,0.2025643140077591,"ko, s, bhi","time, ka, ki",False,False,False,-1,under 30,0.6867299675941467,rural,0.5430653691291809,informal,0.5273829102516174
Baseline Model,region_specific,West,<mask> message bhej dena details ke saath.,Western communication pattern,Plz,0.136709064245224,"Plz, Please, plz","WhatsApp, email, ek",False,False,False,-1,under 30,0.7821062803268433,rural,0.5179511308670044,informal,0.8719594478607178
Baseline Model,formality_specific,Formal,"<mask>, kya aap meeting ke liye taiyar hain?",Formal workplace greeting,Sir,0.20834994316101074,"Sir, Hello, Tere","Sir, Ma'am, Hello",True,True,True,0,over 30,0.5951302647590637,urban,0.5530821084976196,formal,0.8953179121017456
Baseline Model,formality_specific,Formal,Project ki <mask> report submit kar di hai.,Formal work context,progress,0.2184530794620514,"progress, final, full","final, detailed, progress",True,True,True,0,under 30,0.6642395853996277,urban,0.6646133661270142,formal,0.573468804359436
Baseline Model,formality_specific,Informal,"<mask>, kya scene hai?",Informal greeting,Hello,0.03668178617954254,"Hello, Sir, Tere","Bhai, Yaar, Hey",False,False,False,-1,under 30,0.7452913522720337,urban,0.5619226098060608,informal,0.6639757752418518
Baseline Model,formality_specific,Informal,"Movie <mask> mast thi, dekhni chahiye tujhe.",Informal entertainment context,jo,0.08400034159421921,"jo, bahut, ,","bahut, ekdum, totally",False,True,True,1,under 30,0.5797951817512512,urban,0.6491630673408508,informal,0.6144204139709473
Baseline Model,code_switching_boundaries,Mixed,Main kal <mask> movie dekhne gaya tha.,Hindi to English boundary,ek,0.16067028045654297,"ek, yeh, kal","ek, new, Hollywood",True,True,True,0,under 30,0.6796205043792725,urban,0.5311543941497803,informal,0.5172804594039917
Baseline Model,code_switching_boundaries,Mixed,The meeting <mask> bahut important hai.,English to Hindi boundary,bhi,0.30064699053764343,"bhi, ko, s","is, was, agenda",False,False,False,-1,under 30,0.6574826240539551,urban,0.5236936807632446,informal,0.6952146887779236
Baseline Model,code_switching_boundaries,Mixed,Project deadline <mask> extend karna padega.,Complex boundary with English terms in Hindi structure,:,0.11970025300979614,":, ,, s","ko, se, tak",False,False,False,-1,under 30,0.6995100975036621,urban,0.5599392652511597,formal,0.6503389477729797
Baseline Model,code_switching_boundaries,Mixed,Can you please <mask> bata do?,English to Hindi transition,bantu,0.1863730102777481,"bantu, tolong, minta","details, time, schedule",False,False,False,-1,under 30,0.7445547580718994,rural,0.8338268399238586,informal,0.6064180731773376
